ratings,2005,comp-jjn2bxud
ratings,2006,comp-jjn0hw8a
ratings,2007,comp-jjn030so
ratings,2008,comp-jjmzx2kp
ratings,2009,comp-jjmzs8qe
ratings,2010,comp-jjmzr2l6
ratings,2011,comp-jjmzmyn8
ratings,2012,comp-jjmzky2g
ratings,2013,comp-jjmzgxcg
ratings,2014,comp-jj28o50k
ratings,2015,comp-jj27yeoj
ratings,2016,comp-jj27qm28
ratings,2017,comp-jjmz5at9
field-position,2005,comp-jjksmxab
field-position,2006,comp-jjnp8a4o
field-position,2007,comp-jjnnyp83
field-position,2008,comp-jjnn8x19
field-position,2009,comp-jjnmsndw
field-position,2010,comp-jjnmi91h
field-position,2011,comp-jjnlwge5
field-position,2012,comp-jjnljjf4
field-position,2013,comp-jjnl6tsh
field-position,2014,comp-jjnc2g6b
field-position,2015,comp-jjnc2g6b
field-position,2016,comp-jjkwu2qj
field-position,2017,comp-jjksmxab
passing,2005,comp-jjksmxab
passing,2006,comp-jjnp8fk8
passing,2007,comp-jjnnyxno
passing,2008,comp-jjnn925h
passing,2009,comp-jjnmssfk
passing,2010,comp-jjnmie5m
passing,2011,comp-jjnlwlm0
passing,2012,comp-jjnljo6v
passing,2013,comp-jjnl6z5z
passing,2014,comp-jjnc2m3k
passing,2015,comp-jjm7brix
passing,2016,comp-jjkwugrh
passing,2017,comp-jjkt4v8q
rushing,2005,comp-jjnphixm
rushing,2006,comp-jjnp8qpf
rushing,2007,comp-jjnnz4q4
rushing,2008,comp-jjnnz4q4
rushing,2009,comp-jjnmsx0v
rushing,2010,comp-jjnmsx0v
rushing,2011,comp-jjnlwplg
rushing,2012,comp-jjnljte6
rushing,2013,comp-jjnl734t
rushing,2014,comp-jjnc2qrf
rushing,2015,comp-jjm7bwix
rushing,2016,comp-jjkwux7d
rushing,2017,comp-jjkt55qh
